latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
40.122196,-105.053024,331.24,0.49,0.4,2017-04-17,1936,N,VIIRS,n,1,297.71,4.3,D,0
40.123116,-105.05571,335.49,0.49,0.4,2017-04-17,1936,N,VIIRS,n,1,298.05,4.9,D,0
40.20232,-105.23658,295.15,0.39,0.36,2017-04-20,0857,N,VIIRS,n,1,277.84,0.49,N,2
40.20216,-105.236084,295.53,0.41,0.61,2017-04-28,0948,N,VIIRS,n,1,273.49,0.48,N,2
40.203583,-105.23822,295.17,0.52,0.41,2017-05-05,0916,N,VIIRS,n,1,281.65,0.68,N,2
40.202068,-105.23616,300.04,0.39,0.36,2017-05-06,0857,N,VIIRS,n,1,284.45,0.66,N,2
40.201633,-105.235313,295.54,0.46,0.39,2017-05-07,0839,N,VIIRS,n,1,285.28,0.61,N,2
40.20166,-105.23687,300.75,0.38,0.59,2017-05-14,0807,N,VIIRS,n,1,286.42,0.68,N,2
40.200962,-105.235756,295.48,0.48,0.48,2017-05-31,0929,N,VIIRS,n,1,283.07,0.87,N,2
40.201176,-105.237541,300.72,0.39,0.36,2017-07-04,0851,N,VIIRS,n,1,288.21,0.74,N,2
40.201874,-105.236145,302.37,0.49,0.65,2017-07-06,0954,N,VIIRS,n,1,288.29,0.93,N,2
40.200542,-105.236778,299.43,0.57,0.52,2017-07-07,0935,N,VIIRS,n,1,287.27,1.07,N,2
40.202187,-105.238205,300.04,0.39,0.36,2017-07-09,0857,N,VIIRS,n,1,289.84,0.43,N,2
40.201488,-105.237282,298.15,0.51,0.41,2017-07-24,0916,N,VIIRS,n,1,288.15,0.46,N,2
40.202007,-105.236359,300.65,0.34,0.56,2017-07-28,0941,N,VIIRS,n,1,288.46,0.55,N,2
40.200699,-105.239647,295.47,0.38,0.59,2017-08-18,0807,N,VIIRS,n,1,284.94,0.53,N,2
40.203411,-105.236961,295.78,0.59,0.7,2017-08-28,1000,N,VIIRS,n,1,285.29,0.87,N,2
40.200794,-105.237183,300.57,0.4,0.45,2017-08-30,0923,N,VIIRS,n,1,287.64,0.88,N,2
40.20052,-105.237747,295.58,0.41,0.37,2017-08-31,0904,N,VIIRS,n,1,282.62,0.51,N,2
40.201317,-105.23571,298.3,0.39,0.36,2017-09-06,0852,N,VIIRS,n,1,285.15,0.64,N,2
40.203358,-105.235542,295.2,0.59,0.7,2017-09-13,1001,N,VIIRS,n,1,284.79,0.63,N,2
40.202049,-105.235741,296.81,0.42,0.46,2017-09-18,0827,N,VIIRS,n,1,284.02,0.63,N,2
40.201942,-105.237015,297.13,0.45,0.39,2017-09-21,0911,N,VIIRS,n,1,282.17,0.65,N,2
40.201336,-105.235794,301.23,0.39,0.36,2017-09-22,0852,N,VIIRS,n,1,285.02,0.71,N,2
