latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
40.20193,-105.23838,297.1,0.39,0.36,2020-09-03,0854,N,VIIRS,n,2.0NRT,285.4,0.6,N
40.20135,-105.23892,296.9,0.4,0.45,2020-09-07,0918,N,VIIRS,n,2.0NRT,285.6,0.5,N
40.20167,-105.23685,296.9,0.42,0.61,2020-09-27,0948,N,VIIRS,n,2.0NRT,281.8,0.8,N
40.20229,-105.23642,296.7,0.39,0.36,2020-09-30,0848,N,VIIRS,n,2.0NRT,284,0.7,N
40.20125,-105.23721,297.1,0.35,0.57,2020-10-08,0942,N,VIIRS,n,2.0NRT,280.6,0.6,N
40.14585,-105.36754,330.3,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,290.9,6.4,D
40.15399,-105.33714,331.2,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,286.7,5.3,D
40.1533,-105.34158,354.4,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,287.2,5.3,D
40.1526,-105.34602,339.9,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,286.1,4.8,D
40.15191,-105.35052,344.6,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,287.8,4.8,D
40.15121,-105.355,346.6,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,287.8,6,D
40.15052,-105.35948,350.7,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,288.9,6,D
40.14982,-105.36395,344.4,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,290.4,6.4,D
40.14912,-105.36842,355.5,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,295.8,6.4,D
40.14843,-105.37287,333.4,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,289.6,4.7,D
40.15657,-105.34245,367,0.38,0.36,2020-10-17,1954,N,VIIRS,h,2.0NRT,329.6,370.8,D
40.1531,-105.36484,367,0.38,0.36,2020-10-17,1954,N,VIIRS,h,2.0NRT,362,653.2,D
40.1517,-105.37375,367,0.38,0.36,2020-10-17,1954,N,VIIRS,h,2.0NRT,340.8,183.1,D
40.15727,-105.33799,351.5,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,295.7,370.8,D
40.15448,-105.3559,339,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,299.7,336.2,D
40.15379,-105.36037,350.8,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,299.8,336.2,D
40.1524,-105.36929,367,0.38,0.36,2020-10-17,1954,N,VIIRS,l,2.0NRT,376.3,653.2,D
40.15985,-105.34332,367,0.38,0.36,2020-10-17,1954,N,VIIRS,h,2.0NRT,369.8,370.8,D
40.15846,-105.35229,367,0.38,0.36,2020-10-17,1954,N,VIIRS,h,2.0NRT,362.6,564.9,D
40.15776,-105.35677,367,0.38,0.36,2020-10-17,1954,N,VIIRS,h,2.0NRT,353.6,336.2,D
40.15498,-105.37462,367,0.38,0.36,2020-10-17,1954,N,VIIRS,h,2.0NRT,367,183.1,D
40.15428,-105.37908,367,0.38,0.36,2020-10-17,1954,N,VIIRS,h,2.0NRT,334.7,183.1,D
40.15359,-105.38354,367,0.38,0.36,2020-10-17,1954,N,VIIRS,h,2.0NRT,340.5,103.2,D
40.16054,-105.33885,350.1,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,310.2,370.8,D
40.15915,-105.3478,312.1,0.38,0.36,2020-10-17,1954,N,VIIRS,l,2.0NRT,315.7,564.9,D
40.15707,-105.36124,367,0.38,0.36,2020-10-17,1954,N,VIIRS,l,2.0NRT,372.7,336.2,D
40.15637,-105.36569,367,0.38,0.36,2020-10-17,1954,N,VIIRS,l,2.0NRT,372.4,653.2,D
40.15567,-105.37016,367,0.38,0.36,2020-10-17,1954,N,VIIRS,l,2.0NRT,372.7,653.2,D
40.16104,-105.35764,367,0.38,0.36,2020-10-17,1954,N,VIIRS,h,2.0NRT,340.3,574.4,D
40.15756,-105.37995,367,0.38,0.36,2020-10-17,1954,N,VIIRS,h,2.0NRT,337,94.6,D
40.16382,-105.33973,343.3,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,285.1,119.2,D
40.16243,-105.34869,343.7,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,291.5,27.2,D
40.16173,-105.35317,354.1,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,292.1,27.2,D
40.15686,-105.38441,357,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,291.7,21.7,D
40.15617,-105.38888,348.2,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,292.4,21.7,D
40.16034,-105.3621,367,0.38,0.36,2020-10-17,1954,N,VIIRS,l,2.0NRT,375.6,574.4,D
40.15965,-105.36655,367,0.38,0.36,2020-10-17,1954,N,VIIRS,l,2.0NRT,375.9,421.7,D
40.15895,-105.371,367,0.38,0.36,2020-10-17,1954,N,VIIRS,l,2.0NRT,375.6,421.7,D
40.15825,-105.37547,367,0.38,0.36,2020-10-17,1954,N,VIIRS,l,2.0NRT,375.9,94.6,D
40.16362,-105.36296,367,0.38,0.36,2020-10-17,1954,N,VIIRS,h,2.0NRT,357.1,574.4,D
40.16292,-105.36741,367,0.38,0.36,2020-10-17,1954,N,VIIRS,h,2.0NRT,340.8,421.7,D
40.1664,-105.3451,325.3,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,284.8,119.2,D
40.1657,-105.34958,326.1,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,285.4,27.2,D
40.165,-105.35406,331.7,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,286.7,27.2,D
40.16431,-105.35851,352.5,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,290,574.4,D
40.16153,-105.37634,348.6,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,291.5,94.6,D
40.16084,-105.38081,330.7,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,288.2,94.6,D
40.16759,-105.35939,328.8,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,287.5,6.1,D
40.16689,-105.36385,347.3,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,286.6,6.1,D
40.1662,-105.3683,338.4,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,285.4,5.5,D
40.1655,-105.37276,328.8,0.38,0.36,2020-10-17,1954,N,VIIRS,n,2.0NRT,283.9,5.5,D
40.1384,-105.34965,297.6,0.49,0.65,2020-10-18,0954,N,VIIRS,n,2.0NRT,271.7,2.1,N
40.14425,-105.37859,309.1,0.56,0.69,2020-10-19,0754,N,VIIRS,n,2.0NRT,279.2,2.8,N
40.14412,-105.37253,303.6,0.56,0.69,2020-10-19,0754,N,VIIRS,n,2.0NRT,280.7,2.6,N
40.13054,-105.34001,311.2,0.56,0.69,2020-10-19,0754,N,VIIRS,n,2.0NRT,277.5,2.1,N
40.12971,-105.33843,310.3,0.56,0.69,2020-10-19,0754,N,VIIRS,n,2.0NRT,277.2,1.6,N
40.06848,-105.46407,320.6,0.57,0.69,2020-10-19,0754,N,VIIRS,n,2.0NRT,281.9,2.4,N
