X,Y,OBJECTID,District,Chief,Website1,Address,City,State,Zip,Captain,Email,Status,Phone,Paid_Employees,Volunteers,Station_Name,BRETSA_Name,BRETSA_Code,Equipment,Notes
-105.404298560111,40.0191150539913,1,Sugarloaf Fire Protection District,Andrew Goldman,http://www.slfpd.org/,1677 Lost Angel Rd,Boulder,CO,80302,,pio@slfpd.org,<null>,(303) 442-1354,,,Sugar Loaf Station 1,SUGAR LOAF FIRE,,<null>,<null>
-105.569805495319,39.9494040669308,2,Nederland Fire Protection District,Rick Dirr,http://www.nfpd.org/,555 Eldorado Ave,Nederland,CO,80466,,admin@nfpd.org,<null>,(303) 258-9555,,,Nederland Station 3,NEDERLAND FIRE,,<null>,<null>
-105.463817841073,39.9812600428926,3,Nederland Fire Protection District,Rick Dirr,http://www.nfpd.org/,2815 Ridge Rd,Nederland,CO,80466,,admin@nfpd.org,<null>,(303) 258-0310,,,Nederland Station 2,NEDERLAND FIRE,,<null>,<null>
-105.516473944692,39.9639682363698,4,Nederland Fire Protection District,Rick Dirr,http://www.nfpd.org/,650 W 4th St,Nederland,CO,80466,,admin@nfpd.org,<null>,(303) 258-9161,,,Nederland Station 1,NEDERLAND FIRE,,<null>,<null>
-105.528480801429,40.196801601701,5,Allenspark Fire Protection District,Leo Touzjian,http://www.allensparkfire.com/,14861 Hwy 7,Allenspark,CO,80510,,info@allensparkfire.com,<null>,(303) 747-2586,,,Allenspark Station 1,ALLENSPARK FIRE,,<null>,<null>
-105.20799124431,40.0703901475906,6,Boulder Rural Fire Protection District,Greg Schwab,http://brfd.org/,6230 Lookout Rd,Boulder,CO,80301,,greg.schwab@brfr.org,<null>,(303) 530-9575,,,Boulder Rural Station 1,BOULDER RURAL FIRE,,<null>,<null>
-105.310556090519,40.0503000398145,7,Boulder Mountain Fire Protection District,John Benson,https://www.bmfpd.org/,1905 Linden Dr,Boulder,CO,80304,,chief@bouldermountainfire.org,<null>,(303) 440-0235,,,BMFPD Station 1,BOULDER MOUNTAIN FIRE,,<null>,<null>
-105.355326766985,40.0778044237702,8,Boulder Mountain Fire Protection District,John Benson,https://www.bmfpd.org/,50 Overlook Ln,Boulder,CO,80302,,chief@bouldermountainfire.org,<null>,(303) 440-0235,,,BMFPD Station 2,BOULDER MOUNTAIN FIRE,,<null>,<null>
-105.347385216895,39.9060659473992,9,Coal Creek Canyon Fire Protection District,Garret Ball,http://www.coalcreekcanyonfd.org/,30579 Highway 72,Golden,CO,80403,,general@coalcreekcanyonfd.org,<null>,(303) 642-3121,,,Coal Creek Canyon FPD Station 1,COAL CREEK FIRE,,<null>,<null>
-105.389680828725,39.8775525805338,10,Coal Creek Canyon Fire Protection District,Garret Ball,http://www.coalcreekcanyonfd.org/,34697 Gap Road,Golden,CO,80403,,general@coalcreekcanyonfd.org,<null>,(303) 642-3466,,,Coal Creek Canyon FPD Station 4,COAL CREEK FIRE,,<null>,<null>
-105.364936746248,40.0418889012682,11,Four Mile Fire Protection District,Bret Gibson,https://fourmilefire.org/,9 Logan Mill Rd,Boulder,CO,80302,,fourmilefpd@gmail.com,<null>,(303) 449-3333,,,Four Mile Logan Mill Station,FOUR MILE FIRE - MILL STATION,,<null>,<null>
-105.377655596824,40.0540232920251,12,Four Mile Fire Protection District,Bret Gibson,https://fourmilefire.org/,546 Gold Run Rd,Boulder,CO,80302,,fourmilefpd@gmail.com,<null>,(303) 449-3333,,,Four Mile Salina Station,FOUR MILE FIRE-SALINA STATION,,<null>,<null>
-105.383526328256,40.0413581501011,13,Four Mile Fire Protection District,Bret Gibson,https://fourmilefire.org/,5925 Fourmile Canyon Dr,Boulder,CO,80302,,fourmilefpd@gmail.com,<null>,(303) 449-3333,,,Four Mile Wall Street Station,FOUR MILE FIRE - WALL ST STA,,<null>,<null>
-105.413348855832,40.0625082681699,14,Gold Hill Fire Protection District,Chris Finn,http://www.goldhillfire.org/,1011 Main Gold Hill,Gold Hill,CO,80302,,cfinn@goldhillinn.com,<null>,(303) 444-5549,,,Gold Hill Fire Protection District,GOLD HILL FIRE,,<null>,<null>
-105.507160135877,40.0721515664231,15,Indian Peaks Fire Protection District,Norman Bowers, ,112 Utica St,Ward,CO,80481,,normbowers61@yahoo.com,<null>,(303) 459-3452,,,Indian Peaks Station 1,INDIAN PEAKS FIRE,,<null>,<null>
-105.093436840058,40.0013201116032,16,City of Lafayette Fire Department,Dave Friedel,https://www.cityoflafayette.com/94/Fire,401 N 111th St,Lafayette,CO,80026,, ,<null>,(303) 665-9661,,,Lafayette Fire Department Station 1,LAFAYETTE FIRE,,<null>,<null>
-105.386058517131,40.1153204410806,17,Jamestown Volunteer Fire District,Arne Metzger,http://jvfd-ems.org/,66 Main St,Jamestown,CO,80455,, ,<null>,(303) 447-1568,,,Jamestown Fire Hall,JAMESTOWN FIRE,,<null>,<null>
-105.132058000145,39.9823842846768,18,Louisville Fire Protection District,John Willson,http://www.louisvillefire.com/,1240 Main St,Louisville,CO,80027,,info@louisvillefire.com,<null>,(303) 666-6595,,,Louisville Station 1,LOUISVILLE FIRE,,<null>,<null>
-105.160262023048,39.9746393527415,19,Louisville Fire Protection District,John Willson,http://www.louisvillefire.com/,895 W Via Appia,Louisville,CO,80027,,info@louisvillefire.com,<null>,(303) 666-6595,,,Louisville Station 2,LOUISVILLE FIRE,,<null>,<null>
-105.266409097823,40.2234515305374,20,Lyons Fire Protection District,J.J.Hoffman,http://lyonsfire.org/,251 Broadway,Lyons,CO,80540,,info@lyonsfire.org,<null>,(303) 823-6611,,,Lyons Station 1,LYONS FIRE,,<null>,<null>
-105.286595076916,40.2809037976446,21,Lyons Fire Protection District,J.J.Hoffman,http://lyonsfire.org/,1250 County Road 37E,Lyons,CO,80540,,info@lyonsfire.org,<null>,(303) 823-6611,,,Lyons Station 2,LYONS FIRE,,<null>,<null>
-105.055960535431,40.1396795447335,22,Mountain View Fire Protection District,David Beebe,https://www.mvfpd.org/,9119 E County Line Rd,Longmont,CO,80504,,info@mvfpd.org,<null>,(303) 772-0710,,,Mountain View Fire Rescue Station 10,MOUNTAIN VIEW FIRE,,<null>,<null>
-104.998635273242,40.2387428724113,23,Mountain View Fire Protection District,David Beebe,https://www.mvfpd.org/,441 3rd St,Mead,CO,80542,,info@mvfpd.org,<null>,(303) 772-0710,,,Mountain View Fire Rescue Station 3,MOUNTAIN VIEW FIRE,,<null>,<null>
-105.154664598811,40.1015489286165,24,Mountain View Fire Protection District,David Beebe,https://www.mvfpd.org/,8500 Niwot Rd,Niwot,CO,80544,,info@mvfpd.org,<null>,(303) 772-0710,,,Mountain View Fire Rescue Station 4,MOUNTAIN VIEW FIRE,,<null>,<null>
-105.097428945031,40.0496778052234,25,Mountain View Fire Protection District,David Beebe,https://www.mvfpd.org/,10911 Dobbins Run,Lafayette,CO,80020,,info@mvfpd.org,<null>,(303) 772-0710,,,Mountain View Fire Rescue Station 5,MOUNTAIN VIEW FIRE,,<null>,<null>
-105.037183083079,40.0429253689457,26,Mountain View Fire Protection District,David Beebe,https://www.mvfpd.org/,50 Bonanza,Erie,CO,80516,,info@mvfpd.org,<null>,(303) 772-0710,,,Mountain View Fire Rescue Station 6,MOUNTAIN VIEW FIRE,,<null>,<null>
-105.359351783667,40.2775946526366,27,Pinewood Springs Fire Protection District,Ted Plank,http://www.pinewoodspringsfire.org/,61 Kiowa Rd,Lyons,CO,80540,,chief@pinewoodspringsfire.org,<null>,(303) 823-5086,,,Pinewood Sprint Station,PINEWOOD SPRINGS FIRE,,<null>,<null>
-105.4411689779,39.9387895011464,28,Timberline Fire Protection District,Paul Ondr,https://www.colorado.gov/timberlinefire,3999 Highway 72,Pinecliffe,CO,80471,,pvondr@timberlinefire.com,<null>,(303) 582-5768,,,Timberline Station 2,TIMBERLINE FIRE,,<null>,<null>
-105.280342568076,40.0228487235643,29,City of Boulder Fire Department,Michael Calderazzo,https://bouldercolorado.gov/fire-rescue,2441 13th St,Boulder,CO,80304,,calderazzom@bouldercolorado.gov,<null>,(303) 441-3361,,,City of Boulder Station 1,BOULDER FIRE,,<null>,<null>
-105.264792006367,40.0001423885744,30,City of Boulder Fire Department,Michael Calderazzo,https://bouldercolorado.gov/fire-rescue,2225 Baseline Rd,Boulder,CO,80302,,calderazzom@bouldercolorado.gov,<null>,(303) 441-3362,,,City of Boulder Station 2,BOULDER FIRE,,<null>,<null>
-105.2539534352,40.0141860102867,31,City of Boulder Fire Department,Michael Calderazzo,https://bouldercolorado.gov/fire-rescue,1585 30th St,Boulder,CO,80303,,calderazzom@bouldercolorado.gov,<null>,(303) 441-3363,,,City of Boulder Station 3,BOULDER FIRE,,<null>,<null>
-105.272821648084,40.0538996846836,32,City of Boulder Fire Department,Michael Calderazzo,https://bouldercolorado.gov/fire-rescue,4365 19th St,Boulder,CO,80304,,calderazzom@bouldercolorado.gov,<null>,(303) 441-3365,,,City of Boulder Station 5,BOULDER FIRE,,<null>,<null>
-105.206989592894,40.0683558652448,33,City of Boulder Fire Department,Michael Calderazzo,https://bouldercolorado.gov/fire-rescue,5145 63rd St,Boulder,CO,80301,,calderazzom@bouldercolorado.gov,<null>,(303) 441-3366,,,City of Boulder Station 6,BOULDER FIRE,,<null>,<null>
-105.225309610581,40.0109836357615,34,City of Boulder Fire Department,Michael Calderazzo,https://bouldercolorado.gov/fire-rescue,1380 55th Ave,Boulder,CO,80301,,calderazzom@bouldercolorado.gov,<null>,(303) 441-3367,,,City of Boulder Station 7,BOULDER FIRE,,<null>,<null>
-105.363801270516,40.0607934330313,35,Sunshine Fire Protection District,Michael Schmitt,http://www.sunshine-fpd.org/,311 County Road 83,Boulder,CO,80302,, ,<null>,(303) 786-7731,,,Sunshine Station 1,SUNSHINE FIRE,,<null>,<null>
-105.366584128574,40.0817228203212,36,Lefthand Fire Protection District,Russell Leadingham,http://www.lefthandfire.org/,7300 Lefthand Canyon Dr,Jamestown,CO,80302,,info@lefthandfire.org,<null>,(720) 214-0563,,,Lefthand Fire Station 4 - Glendale Station,LEFTHAND FIRE,,<null>,<null>
-105.250346204592,39.9427472636749,37,Rocky Mountain Fire District,Mike Tombolato,https://rockyfire.org/,4390 Eldorado Springs Dr,Boulder,CO,80303,,contactus@rockyfire.org,<null>,(303) 494-3735,,,Rocky Mountain Station 6,ROCKY MOUNTAIN FIRE,,<null>,<null>
-105.481152686319,39.8917940436857,38,Timberline Fire Protection District,Paul Ondr,https://www.colorado.gov/timberlinefire,448 Pine Dr,Black Hawk,CO,80422,,pvondr@timberlinefire.com,<null>,(303) 582-5768,,,Timberline Station 4,TIMBERLINE FIRE,,<null>,<null>
-105.417356603237,39.9769743742714,39,Timberline Fire Protection District,Paul Ondr,https://www.colorado.gov/timberlinefire,5927 Magnolia Rd,Nederland,CO,80466,,pvondr@timberlinefire.com,<null>,(303) 582-5768,,,Timberline Station 1,TIMBERLINE FIRE,,<null>,<null>
-105.148076947217,40.3046790494569,40,Berthoud Fire Protection District,Stephen Charles,http://www.berthoudfire.org,4014 W County Road 8,Berthoud,CO,80513,,info@berthoudfire.org,<null>,(970) 532-2264,,,Berthoud Station 2,BERTHOUD FIRE,,<null>,<null>
-105.10108286902,40.1991716163115,41,City of Longmont Fire Department,Jerrod Vanlandingham,https://www.longmontcolorado.gov/departments/departments-n-z/public-safety-department/divisions/fire-services-division,501 23rd Ave,Longmont,CO,80501,,jerrod.vanlandingham@longmontcolorado.go,<null>,(303) 651-8426,,,Longmont Fire Station 4,LONGMONT FIRE,,<null>,<null>
-105.333788266529,39.978683220371,42,Rocky Mountain Fire District,Mike Tombolato,https://rockyfire.org/,5748 Flagstaff Rd,Boulder,CO,80302,,contactus@rockyfire.org,<null>,(303) 494-3735,,,Rocky Mountain Station 4,ROCKY MOUNTAIN FIRE,,<null>,<null>
-105.464664044999,40.0043151486466,43,Sugarloaf Fire Protection District,Andrew Goldman,http://www.slfpd.org/,8200 Sugarloaf Rd,Boulder,CO,80302,,pio@slfpd.org,<null>,(303) 258-3321,,,Sugar Loaf Station 3,SUGAR LOAF FIRE,,<null>,<null>
-105.462804786057,40.157096581794,44,Allenspark Fire Protection District,Leo Touzjian,http://www.allensparkfire.com/,2770 Riverside Dr,Allenspark,CO,80510,,info@allensparkfire.com,<null>, (303) 747-2586,,,Allenspark Station 2,ALLENSPARK FIRE,,<null>,<null>
-105.07341102444,40.1763800042725,45,City of Longmont Fire Department,Jerrod Vanlandingham,https://www.longmontcolorado.gov/departments/departments-n-z/public-safety-department/divisions/fire-services-division,1000 Pace St,Longmont,CO,80504,,jerrod.vanlandingham@longmontcolorado.go,<null>,(303) 651-8426,,,Longmont Fire Station 3,LONGMONT FIRE,,<null>,<null>
-105.104631666695,40.1773103021917,46,City of Longmont Fire Department,Jerrod Vanlandingham,https://www.longmontcolorado.gov/departments/departments-n-z/public-safety-department/divisions/fire-services-division,1070 Terry St,Longmont,CO,80501,,jerrod.vanlandingham@longmontcolorado.go,<null>,(303) 651-8426,,,Longmont Fire Station 1,LONGMONT FIRE,,<null>,<null>
-105.530588311082,40.2330690266635,47,Allenspark Fire Protection District,Leo Touzjian,http://www.allensparkfire.com/,4 County Road 113E,Allenspark,CO,80510,,info@allensparkfire.com,<null>,(303) 747-2586,,,Allenspark Station 3,ALLENSPARK FIRE,,<null>,<null>
-105.131923178587,40.1812097271213,48,City of Longmont Fire Department,Jerrod Vanlandingham,https://www.longmontcolorado.gov/departments/departments-n-z/public-safety-department/divisions/fire-services-division,2300 Mountain View Ave,Longmont,CO,80503,,jerrod.vanlandingham@longmontcolorado.go,<null>,(303) 651-8426,,,Longmont Fire Station 2,LONGMONT FIRE,,<null>,<null>
-105.077766006574,40.3051773701647,49,Berthoud Fire Protection District,Stephen Charles,http://www.berthoudfire.org,275 Mountain Ave,Berthoud,CO,80513,,info@berthoudfire.org,<null>,(970) 532-2264,,,Berthoud Station 1,BERTHOUD FIRE,,<null>,<null>
-105.107660599033,40.1530969169169,50,City of Longmont Fire Department,Jerrod Vanlandingham,https://www.longmontcolorado.gov/departments/departments-n-z/public-safety-department/divisions/fire-services-division,501 South Pratt Pkwy,Longmont,CO,80501,,jerrod.vanlandingham@longmontcolorado.go,<null>,(303) 651-8426,,,Longmont Fire Station 6,LONGMONT FIRE,,<null>,<null>
-105.541733923137,40.2743753225102,51,Allenspark Fire Protection District,Leo Touzjian,http://www.allensparkfire.com/,7400 Hwy 7,Allenspark,CO,80510,,info@allensparkfire.com,<null>,(303) 747-2586,,,Allenspark Station 4,ALLENSPARK FIRE,,<null>,<null>
-105.160511093733,39.92795130919,52,Rocky Mountain Fire District,Mike Tombolato,https://rockyfire.org/,2701 S Indiana St,Superior,CO,80027,,contactus@rockyfire.org,<null>,(303) 494-3735,,,Rocky Mountain Station 5,ROCKY MOUNTAIN FIRE,,<null>,<null>
-105.213016389144,40.0041278115644,53,Rocky Mountain Fire District,Mike Tombolato,https://rockyfire.org/,943 Cherryvale Rd,Boulder,CO,80303,,contactus@rockyfire.org,<null>,(303) 494-3735,,,Rocky Mountain Station 2,ROCKY MOUNTAIN FIRE,,<null>,<null>
-105.177450987032,40.1892702835856,54,Hygiene Volunteer Fire Department,Cody Trevithick,http://www.hygienefire.org/,7523 Hygiene Rd,Hygiene,CO,80533,,general@hygienefire.org,<null>,303-776-2950,,,Hygiene Station 1,HYGIENE FIRE,,<null>,<null>
-104.996595322368,39.8876792261326,55,North Metro Fire Rescue District,David Ramos,https://www.northmetrofire.org/,10550 N Huron St,Northglenn,CO,80234,,dramos@northmetrofire.org,<null>,(303) 452-9910,,,North Metro Fire Station 62,NORTH METRO FIRE,,<null>,<null>
-104.966445851408,39.8950902127856,56,North Metro Fire Rescue District,David Ramos,https://www.northmetrofire.org/,10941 Irma Dr,Northglenn,CO,80233,,dramos@northmetrofire.org,<null>,(303) 452-9910,,,North Metro Fire Station 63,NORTH METRO FIRE,,<null>,<null>
-105.084599616059,39.9225069581578,57,North Metro Fire Rescue District,David Ramos,https://www.northmetrofire.org/,1275 W Midway Blvd,Broomfield,CO,80020,,dramos@northmetrofire.org,<null>,(303) 452-9910,,,North Metro Fire Station 61,NORTH METRO FIRE,,<null>,<null>
-105.034460040192,39.9415860857735,58,North Metro Fire Rescue District,David Ramos,https://www.northmetrofire.org/,13515 Lowell Blvd,Broomfield,CO,80020,,dramos@northmetrofire.org,<null>,(303) 452-9910,,,North Metro Fire Station 64,NORTH METRO FIRE,,<null>,<null>
