"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00050848","BOULDER, CO US","39.9919","-105.2667","1671.5","1974-01","0","0","0",",0","6",",0","3",",0","16",",0","3",",0","9",",0","25",",0","7",",0","1",",0","0",",0","-9",",0,06,","4",",,0,22,+","3.3",",,0,22,","0.43",",,0,18,","71",",0,16,","3342","0","1128",",0","0.91",",,,0","8.0",",,,0","28.6",",0","41.8",",,,0","15.5",",,,0"
"USC00050848","BOULDER, CO US","39.9919","-105.2667","1671.5","1974-02","0","0","0",",0","5",",0","3",",0","8",",0","3",",0","0",",0","24",",0","2",",0","0",",0","0",",0","4",",0,08,","4",",,0,07,+","3.3",",,0,06,","0.53",",,0,18,","62",",0,25,","4117","0","775",",0","1.07",",,,0","8.4",",,,0","37.3",",0","51.0",",,,0","23.6",",,,0"
"USC00050848","BOULDER, CO US","39.9919","-105.2667","1671.5","1974-03","0","0","0",",0","8",",0","4",",0","8",",0","5",",0","0",",0","21",",0","1",",0","4",",0","0",",0","8",",0,24,+","6",",,0,23,","6.9",",,0,23,","0.52",",,0,23,","73",",0,18,+","4770","0","653",",0","1.22",",,,0","18.3",",,,0","43.9",",0","59.5",",,,0","28.4",",,,0"
"USC00050848","BOULDER, CO US","39.9919","-105.2667","1671.5","1974-04","1","0","1",",0","5",",0","3",",0","3",",0","1",",0","0",",0","15",",0","0",",0","7",",0","0",",0","19",",0,14,","10",",,0,13,","10.3",",,0,13,","1.45",",,0,13,","83",",0,27,","5293","0","523",",0","3.07",",,,0","11.4",",,,0","47.6",",0","61.2",",,,0","34.0",",,,0"
"USC00050848","BOULDER, CO US","39.9919","-105.2667","1671.5","1974-05","29","0","28",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","1",",0","36",",0,22,+","0",",,0,31,+","0.0",",T,0,03,","0.00",",T,0,27,+","90",",0,28,","5438","0","145",",0","0.00",",T,,0","0.0",",T,,0","61.2",",0","77.0",",,,0","45.5",",,,0"
"USC00050848","BOULDER, CO US","39.9919","-105.2667","1671.5","1974-06","187","0","157",",0","8",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","11",",0","37",",0,08,+","0",",,0,30,+","0.0",",,0,30,+","1.74",",,0,08,","95",",0,28,","5506","0","67",",0","2.08",",,,0","0.0",",,,0","68.0",",0","83.5",",,,0","52.5",",,,0"
"USC00050848","BOULDER, CO US","39.9919","-105.2667","1671.5","1974-07","443","0","256",",0","16",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","14",",0","49",",0,04,","0",",,0,31,+","0.0",",,0,31,+","0.15",",,0,22,","95",",0,02,+","0","0","0",",0","0.53",",,,0","0.0",",,,0","73.3",",0","88.4",",,,0","58.1",",,,0"
"USC00050848","BOULDER, CO US","39.9919","-105.2667","1671.5","1974-08","571","0","128",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","5",",0","46",",0,10,","0",",,0,31,+","0.0",",,0,31,+","0.22",",,0,09,","91",",0,18,","15","0","15",",0","0.38",",,,0","0.0",",,,0","68.6",",0","83.4",",,,0","53.9",",,,0"
"USC00050848","BOULDER, CO US","39.9919","-105.2667","1671.5","1974-09","613","0","42",",0","6",",0","4",",0","0",",0","1",",0","0",",0","1",",0","0",",0","21",",0","2",",0","31",",0,12,","0",",,0,30,+","2.7",",,0,12,","1.10",",,0,12,","92",",0,10,","202","0","186",",0","2.13",",,,0","2.7",",,,0","60.2",",0","75.2",",,,0","45.2",",,,0"
"USC00050848","BOULDER, CO US","39.9919","-105.2667","1671.5","1974-10","615","0","2",",0","8",",0","6",",0","0",",0","1",",0","0",",0","3",",0","0",",0","16",",0","0",",0","31",",0,06,","0",",,0,31,+","1.2",",,0,14,","1.20",",,0,12,","83",",0,02,","539","0","337",",0","2.24",",,,0","1.2",",,,0","54.2",",0","67.3",",,,0","41.1",",,,0"
